Country Name,Country Code,1990,2010,2019
Angola,AGO,38,62,51
Burundi,BDI,74,92,92
Benin,BEN,79,68,71
Burkina Faso,BFA,79,92,88
Botswana,BWA,87,96,97
Central African Republic,CAF,82,53,49
Cote d'Ivoire,CIV,56,64,76
Cameroon,CMR,56,79,60
"Congo, Dem. Rep.",COD,38,74,57
"Congo, Rep.",COG,75,75,73
Comoros,COM,87,72,90
Cabo Verde,CPV,79,97,98
Djibouti,DJI,85,85,83
Algeria,DZA,83,95,80
"Egypt, Arab Rep.",EGY,86,96,95
Eritrea,ERI,,95,99
Ethiopia,ETH,38,64,58
Gabon,GAB,76,62,62
Ghana,GHA,61,93,92
Guinea,GIN,35,58,47
"Gambia, The",GMB,86,92,85
Guinea-Bissau,GNB,53,76,86
Equatorial Guinea,GNQ,88,44,53
Kenya,KEN,78,86,89
Liberia,LBR,,65,85
Libya,LBY,89,98,73
Lesotho,LSO,80,88,90
Morocco,MAR,79,98,99
Madagascar,MDG,47,66,69
Mali,MLI,43,78,70
Mozambique,MOZ,59,82,87
Mauritania,MRT,38,67,78
Mauritius,MUS,76,99,99
Malawi,MWI,81,93,92
Namibia,NAM,,75,80
Niger,NER,25,67,79
Nigeria,NGA,54,56,54
Rwanda,RWA,83,95,96
Sudan,SDN,57,90,90
Senegal,SEN,51,81,90
Sierra Leone,SLE,,82,93
Somalia,SOM,30,46,46
South Sudan,SSD,,,49
Sao Tome and Principe,STP,71,92,95
Eswatini,SWZ,85,94,81
Seychelles,SYC,86,99,99
Chad,TCD,32,46,41
Togo,TGO,73,68,75
Tanzania,TZA,80,92,88
Uganda,UGA,52,73,87
South Africa,ZAF,79,72,72
Zambia,ZMB,90,96,93
Zimbabwe,ZWE,87,90,85
